案號,類別,日期,問題,答案,來源網址
002938,生物農藥,2024/04/15,粉介殼蟲之性費洛蒙哪裡有賣？,"本所研發的太平洋臀紋粉介殼蟲及桔粉介殼蟲的性費洛蒙誘餌尚未技轉，目前沒有市售產品可購買。如果有試用需求，請來電(04)23302101分機 829索取，本所可提供少量試用品。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=06bf31406245d718c27c933c41273ee2
002936,作物健康管理與諮詢,2024/04/15,種植三星蔥發生類似蛞蝓的黏液移動方式像水蛭露水吹過，蔥一面乾一面潮濕，近期沒有下雨皆是陰天，只有露水，不知有無危害？,"由提供的照片應為陸生渦蟲，是環境指標生物，表示您栽培三星蔥的環境相當良好。陸生渦蟲移動後會有黏液狀痕跡，是肉食性動物，捕食小型昆蟲、蚯蚓與蝸牛，不會為害作物。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=c412b387b10ab84580d312c9de4c81d2
002935,非農藥防治資材,2024/04/10,粉介殼蟲圓筒型黏膠式誘蟲器哪裡有賣？,"目前圓筒型黏膠式誘蟲器尚無市售版本，但可參考附件文獻，自行以寶特瓶製作誘蟲器。惟誘捕時需搭配粉介殼蟲之性費洛蒙。 
文件
 
1130408-01-01-01ProFile.PDF
 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=4949f7239b2ebac35b959090299c2d90
002934,教育推廣,2024/04/10,高山農忙期間(4-11月)種植高麗菜，這時大多是開課的時間。是否可以在其他時段或者是假日班，開設農藥管理訓練或蔬菜類病蟲害的課程？,"有關農藥管理和蔬菜類病蟲害的知識，提供幾個選項：
(1)農民學院數位課程：可以優先考慮參加本所農民學院的生物農藥應用入門班，這是門數位課程(較不受時間與空間限制)，方便在山上休耕期間學習。
(2)就近參加改良場所辦理訓練：可查看附近是否有改良場所或農會等農業機構舉辦的蔬菜類病蟲害課程，這樣可選擇方便的時間參加。
(3)嘉義大學農藥管理人員資格訓練【假日班】：該課程為每週日授課(計15週訓練)，然因今年已逾報名時間，若對此課程感興趣，可以留意本所官網教育訓練(明<114>年初會公告最新訓練課程資訊)，或追蹤本所臉書訊息。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=54a9403e1393fb6ea5c07b6c8e2e5ae1
002933,,2024/04/08,農藥所開發的平原菟絲子生物防治藥劑能從哪裡獲取技轉公司的訊息？,"有關本案生物除草劑已技術轉移給屏東農業科學園區之廠商，惟在10年前未再延續承接，由於該產品國內推估總用量少，導致承接技術轉移廠商意願低，市面上尚無有此相關商品提供，如有其防治菟絲子需求或其相關問題，本所亦在防檢署網站生物除草劑之研發與應用或本所網站「生物控制」防治術擒拿植物殺手平原菟絲子上有進行防治日本菟絲子與平原菟絲子之相關知識推廣。或來電(04-23302101轉606)詢問菟絲子防治方法。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=15e2ba2494e0df60afb49a526b481197
002932,作物健康管理與諮詢,2024/04/08,苦茶出現不知名環剝，且枯枝內有蟲體？,"1. 國內會為害油茶枝條跟樹幹的害蟲，有油茶彫木蛾、茶木織蛾、臺灣琉璃天牛和黑翅土白蟻。
2. 這些害蟲的為害方式，主要是蛀莖和啃食表皮。(1)蛀莖：彫木蛾、茶木織蛾、臺灣琉璃天牛。(2)取食健康油茶樹幹的表皮：黑翅土白蟻。
3.從照片所見樹體傷痕，跟前述已知害蟲的為害徵狀不同。因害蟲種類可能隨氣候改變，若日後發現害蟲，建議採集後，送診斷服務站或請植醫診斷，就可確認害蟲種類，以及防治方式。
4.另照片中樹體的傷痕較深，並有組織增生與褐化現象，顯示距樹體受傷有較長時間，也可能是非生物因子造成。例如在栽培過程中，若利用束帶進行植株固定，當植株成長後，束帶內陷即可能產生傷痕。另以背負式除草機進行機械除草時，也可能誤造成傷痕。建議可以調整管理技術，減少造成傷痕的風險。
 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=22c87bf46587699889ee060affa361e5
002931,農藥施用技術,2024/03/28,若邁隆96.5% GR田間試驗是針對防除番茄田雜草，之後欲延伸至防除茄科果菜類(甜椒、茄子、辣椒、枸杞、香瓜茄、樹番茄等)田雜草，這部分需要就這6種作物各別提出兩品種的試驗嗎？這些試驗是否能以盆栽試驗...,"因邁隆 96.5% GR施藥方式為與土壤混拌，為確認本藥劑之殘效不會抑制作物萌芽或生長，故若試驗是針對防除番茄田雜草，之後欲延伸至防除茄科果菜類(甜椒、茄子、辣椒、枸杞、香瓜茄、樹番茄等)田雜草，就需要6種作物各別提出2品種的試驗資料，另藥害試驗是可接受盆栽試驗。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=d68732c528be7665803f3759b1becc5b
002930,病蟲害防治,2024/03/28,欲委託國內符合資格的試驗單位進行邁隆96.5% GR的田間試驗，再取得授權使用此報告申請延伸使用範圍可行嗎？,"1.若擬登記之使用範圍為主要使用範圍，則應進行3場次田間試驗。若擬進行延伸評估，依藥效作物分群表，上述進行的田間試驗若為代表使用範圍，即可依報告進行評估可延伸使用範圍。另，邁隆 96.5% GR施藥方式為與土壤混拌，為確認本藥劑之殘效不會抑制作物萌芽或生長，應提供擬延伸作物2個品種之藥害試驗資料。
2.如提供新登記使用範圍之殘留資料，應注意試驗作物代表性及延伸之作物範圍，延伸作物代表性可參考農藥殘留量試驗作物分群表，選擇適當之代表作物國內外試驗資料，並依延伸之作物範圍，繳交主要作物至少3場次或少量作物至少1場次試驗資料。
 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=c5a94f9884b67638505ec87a369c9fe2
002929,藥毒物檢驗,2024/03/13,依據TFDA公告的國內外能力試驗辦理機構參考名單(112.06.19)中，貴所為TFDA認可之能力試驗機構，是否有相關辦理的能力試驗清單可參考？,"本所目前非TFDA認可之能力試驗機構，亦未進行 ISO 17043認證，此名單應為建議參考名單。本所舉辦之能力試驗供試樣品為農產品，供試農藥範圍為食品中殘留農藥檢驗方法—多重殘留分析方法(五)，邀請對象為本所輔導之區檢中心及民間檢驗單位，如貴單位需進一步瞭解能力試驗舉辦情況，可聯絡04-23302101分機412，施先生。 
文件
 
1130308-01-01-01ProFile.PDF
 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=b8988b7201f76eafe33f935ae42b5d25
002927,除草劑及植物生長調節劑應用,2024/03/13,氯酸鈉除了做除草劑使用之外，是否有殺菌的功能？,"目前氯酸鈉 600 g/L 溶液核准使用於'紅豆植株乾燥處理'及防除'甘藍園雜草'。查無氯酸鈉具有殺菌功能之資料。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=aa75da18218c1d8325716ec71d40940d
002926,農藥管理,2024/04/03,報考農藥代噴人員共同科目考試通過後，如何索取考試通過證明？,"有關索取「農藥代噴人員共同科目」考試通過證明：
一、本所無直接提供訓練學員考試通過後之相關證明。
二、有關考試通過之證明可至本所官網【教育訓練】-->【報名整合平台】登入帳密後查詢並截圖以作為證明。
三、登入之帳號為身份證字號(10碼)，初始密碼為身分證號碼後4碼。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=1a3b371891b8c904c4efc266e20893f8
002925,生物農藥,2024/03/07,商品化之薊馬警戒費洛蒙何處可購買？,"有關目前本所研發之薊馬警戒費洛蒙尚未完成商品化，技術承接業者也尚未取得生物農藥許可證，目前無市售商品。本所可免費提供少量試用品，每位農民每年額度最多可索取3包，可來電04-23302101#829洽詢。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=b3b638761a267c1d607b8392a8a8bad3
002924,藥毒物檢驗,2024/03/20,在菜市場（蔬果行）買到疑似殘留超高農藥的草莓該如何查證舉報呢？,"有關一般農藥正常使用應不至有殘留超高的情形，惟對蔬果產品如果有質疑，可：
1.先釐清購買來源並保存相關購買憑證。
2.市售產品為衛生單位主管，請通報地方政府衛生局加強抽驗。
3.部分衛生單位有檢驗服務，可逕洽衛生單位詢問是否有民眾檢驗服務。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=cef0eff468343295dcc2abbfc7d9f182
002923,病蟲害防治,2024/03/04,圖片南洋杉為炭疽病或葉枯病，可用撲克拉猛與百克敏治療嗎？,"1.初步從照片判斷不像病害而可能是非生物因子的影響(如鹽害等)，請持續觀察異常部位是否有擴大現象。
2.若需進一步鑑定需求可洽林業試驗所林木疫情鑑定與資訊中心(02)23039978-2668或本所病蟲診斷中心 (04)23302101#357。
3.若針對南洋杉有用藥需求請參考植物保護資訊系統中的花木類用藥，目前撲克拉錳並無登記於此範圍。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=8532f2cc4bf9a0d18f8a1a86b36a1e88
002921,藥毒物檢驗,2024/02/27,可以索取100年到108年間的市售農藥檢驗合格清單嗎？,"有關市售農藥檢驗合格清單。因本所係受防檢署及各縣市政府委託，辦理市售成品農藥規格檢驗業務，依實驗室相關規範，相關資料係為委託單位所擁有，本所有保密義務。建請洽主管單位防檢署或當地縣市政府詢問相關資料。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=3e30512be8124abe6fcdf5b6d3dde1e8
002920,農藥施用技術,2024/04/03,馬拉松可以和蓋普丹或氟比拔克殺菌劑混合使用嗎？,"1. 據了解蓋普丹在台灣目前僅限用於甘蔗和鳳梨，需確認您要噴施的作物類別。
2. 馬拉松為有機磷殺蟲劑，在混用時請避免與銅劑混合；另氟比拔克目前無查詢到相關混用的注意事項。
3. 桶混農藥前請先在植物保護資訊系統中依作物別查詢是否有核准用藥，而桶混時請依循肥料→可濕性粉劑、水分散性粒劑→水懸劑→溶液→展著劑→乳劑的順序混合，並先進行小規模試用。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=d7c6ae34284715d83b7091aba1edd066
002919,藥毒物檢驗,2024/02/23,110年度蔬菜農產品農藥殘留監測研究成果報告PDF檔案中，第30頁表23類別欄位中的「竹」是竹筍嗎？,"有關「110年度蔬菜農產品農藥殘留監測研究成果報告」中，「竹」為根菜類的作物名稱，檢驗部位為竹筍。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=3fcc9d1bcc0bdd36e924b681da42a085
002918,作物健康管理與諮詢,2024/02/19,照片梨樹發生什麼問題？有藥物防治嗎？,"依照片初步研判可能為梨胴枯病。本病原菌病原性弱，但在管理不良果園較易猖獗發生，無性世代之柄子器可殘存枝條，遇水釋放分生孢子。請加強園區管理，調節土壤pH值至6左右；枝條修剪之傷口應立即塗樹脂保護；注重田間衛生，隨時清除罹病枝條並銷毀；目前本病無登記藥劑，可參考梨輪紋病之藥劑。若有進一步診斷需求可先電洽本所診斷中心 (04)23302101#357。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=2808551367cba2217f5f12cd342b2c12
002917,雜草防治,2024/02/19,何種農藥可用於住宅所生長之雀榕？,"依據《農藥管理法》相關規定，住宅區非屬核准範圍，不得使用農藥，倘違規使用將處新臺幣一萬五千元以上十五萬元以下罰鍰，故僅能使用人力等物理方式防除，以免觸法。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=5f616f397ce294588fa60650b92c68ca
002916,作物健康管理與諮詢,2024/02/16,圓柏葉片呈現枯乾黃，該如何施藥改善？請推薦圓柏疏枝修剪後預防傷口感染、防治介殼蟲或紅蜘蛛的藥劑。龍柏斷根移植到草地(約2年)，現打算使用發根劑及施肥改善枯枝情形，使其生長新葉，請建議施用藥劑或如何養護...,"從照片初步研判可為枝枯病與疫病的複合感染，但因未做鏡檢可就近請台灣大學植物教學醫院的同仁前去勘查(02)3366-9309。照料上請剪除發病枝並將枯枝落葉帶離後銷毀，另須注意磷肥和鉀肥的補充以增加植株生長勢健康。病蟲害相關用藥請參考植物保護資訊系統中的花木類用藥，若需針對枝枯病處理可參考花木炭疽病。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=ddf9ac037f4883df27af596b6eabe9dc
002915,教育推廣,2024/02/16,植物保護手冊網頁移到何處？,"有關本所自107年11月1日起關閉植物保護手冊電子書，請轉往使用【植物保護資訊系統】。植物保護資訊系統網址為：
https://otserv2.acri.gov.tw/ppm/
，另請留意網址開頭為https，不是http。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=fe1eb60ac55d0989c610d2a9d10c6e91
002914,作物健康管理與諮詢,2024/02/01,韭菜葉片上的灰白色斑點是何種病害？,"依照片看疑似為新興病害韭菜白斑病，本病害低溫高濕時發生，於非慣行法之田間發病嚴重，罹病植株於罹病地下球莖產生菌核。因病害尚無登記藥劑，可參考蔥科小葉菜類子囊菌之登記用藥(如紫斑病、灰黴病、菌核病等)。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=bdc15e98342a11639dd14d80ecc9bf3b
002913,作物健康管理與諮詢,2024/01/30,用來消毒泳池的三氯異氟尿酸錠(消毒用氯錠)能使用來進行溫室土讓和植株消毒嗎？,"有關農業用藥在販售前皆需申請農藥登記，經嚴謹審查毒理安全性，確保藥效以及不產生藥害，並進行殘留消退檢測等試驗確保對人體與環境的安全；環境消毒物質因未經農藥登記與審核，故不宜使用。若要進行土壤消毒也可以熱蒸氣等方式處理之。有關登記用藥部分請參考植物保護資訊系統：
https://otserv2.acri.gov.tw/ppm/
 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=30ec04aa62e977cbdf33a434b694f184
002912,作物健康管理與諮詢,2024/01/30,蘿蔔有這個洞是什麼原因造成的？目前猜測在使用生雞糞的田區情況 特別嚴重，是雞糞裡有的害蟲嗎？,"依所附圖片研判，蘿蔔根部可能遭受鱗翅目害蟲或蠐螬(金龜子害蟲)為害，在施用生雞糞肥的田區以蠐螬為害較常見，但害蟲種類仍需在蘿蔔根部進入膨大期的初期，及在嚴重發生田區進行採樣才能確認。另外，生雞糞肥需經過腐熟才能使用，以避免夾帶的病原菌、蟲源或雜草種子對作物造成危害。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=2c7af9ad2304aa967a721797e36689ed
002911,作物健康管理與諮詢,2024/01/23,萬代蘭葉片基部發黑，要用什麼方式處理？,"從照片研判可能為鐮胞菌或細菌引起的土壤病害。請先觀察發黑組織是否產生水浸狀斑、莖部變軟、葉子容易與發黑處分離等徵狀，以及發黑處是否有擴大。若須鑑定可將樣本送至本所診斷中心(04)23302101#357，或就近的農試改場協助，若有用藥需求可參考植物保護資訊系統中觀賞花卉的核准用藥清單。 
https://otserv2.acri.gov.tw/ppm/PLC02.aspx
 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=7119170dff0411664d727f541865973b
002910,農藥管理,2024/01/23,目前國內有登記的除草劑：固殺草 (ammonium DL-homoalanin-4-yl(methyl)phosphinate)，是D-isomer & L-isomer 外消旋的混合物，根據...,"有關 L-isomer (L-GLUFOSINATE AMMONIUM) 需依規以新有效成分的要求準備登記資料，請備齊「新有效成分」類別之理化性及毒理試驗、田間藥效藥害、殘留試驗報告等完整登記資料，並函文防檢署申請辦理。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=59b05666dbcff1dff9eb6a4ba8674d98
002909,作物健康管理與諮詢,2024/01/23,種了一株紅骨九層塔，病徵如附圖，是否為露菌病？,"依照片看不像露菌病，葉背並無菌絲等構造存在；有可能是施肥過量導致微量元素缺乏，因土壤中有過量氮元素可能造成植株不易吸收其他微量元素(如磷、鎂)，可適度減少施肥頻度。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=c6f5e89ef3b2e66d4cda0f79314ded1e
002908,生物農藥,2024/01/18,細胞分裂素Cytokin是否屬於生化製劑？若屬生化製劑，登記 Cytokin 0.01% SL，除依據農藥理化性及毒理試驗準則第三條附件一附表準備物理化學試驗報告外，還需要提供那些資料以進行登記？,"一、經查，目前國內已登記的細胞分裂素農藥許可證只有寶成公司進口的細胞分裂素0.01% SL，英文普通名稱 Cytokinin (four naturally occurring Cytokinins derived from aqueous extract of seaweed meal) and Kinetin (synthetic Cytokinin)，有效成分是混合物。早期細胞分裂素(Cytokinins)登記時並無生化製劑之分類，但該產品在生產國確實是屬生化製劑。也符合我國生化製劑指天然產物之有效成分經化學方法純化或合成，具明確化學結構，非以直接毒殺害物為防治機制之製劑；其化學結構應與天然產物之有效成分相同，或為具等同功能之異構物或其衍生物。
二、細胞分裂素不是單一有效成分，若無原始廠商授權原廠資料則無從仿製。建議評估是否朝登記開寧激素(Kinetin)，Kinetin是細胞分裂素中有效成分之一。
三、生化製劑的審查資料如下: 
1.有效成分的生產原料、製造方法、天然萃取還是化學合成、原體組成份分析及不純物說明。
2.原體來源、原體及成品是進口還是國內生產、製劑的配方組成、添加成分的MSDS、成品加工程序、產品的理化性質、工廠資本資料。
3.生產工廠的品質規格、確效之有效成分檢驗方法、包含耐熱試驗的品管檢驗報告。
 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=38d6b5dc750aa8a6208090ebd7167cb3
002907,教育推廣,2024/01/17,無畢業證書可否報名代噴人員共同科目的線上課程？,"有關代噴訓練是毋須檢附'畢業證書'，若有進一步報名操作問題需詢問，再請撥打本所訓練承辦窗口專線詢問：04-2330-2101分機116，唐先生。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=df09a4eb72d29bbed76ff342add28fea
002906,人畜毒性安全,2024/01/15,甲基砷酸鈉(MSMA)的作用機制與LD50細胞毒性為何？,"甲基砷酸鈉(MSMA)在我國早期登記作為防治百慕達草坪雜草，其作用機制為HRAC: Z未知作用機制(Unknown)，而LD50通常是指造成一半生物死亡的劑量，其原體對大鼠與小鼠口服急毒性LD50分別為700 與1800 mg/kg bw，由於因其屬含砷及致腫瘤風險之農藥，已於107年8月1日起被農方公告禁止製造、加工及輸入，並於108年2月1日起禁止銷售，如台端有使用除草劑需求，建議先行諮詢防檢署，避免違規用藥導致本身或他人健康危害。
 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=ea989c531ce4960351ce7154cb2cfa53
002905,雜草防治,2024/01/10,有機砷酸鈉(甲基砷酸鈉)MSMA除草劑農藥的作用機制是什麼？,"有關臺端詢問甲基砷酸鈉 (MSMA) 除草劑之作用機制為何乙案，查除草劑抗藥性作用聯盟 (Herbicide Resistance Action Committee, HRAC) 對該藥劑最新之分類為 HRAC-φ，即作用機制未知。另國際癌症研究機構 (International Agency for Research on Cancer, IARC) 將砷及砷化物歸類為第一類致癌物，我國亦早已於107 年公告禁用該農用，故目前並無其作用機制之相關研究。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=18f4c9fc4cde67bb3668f5cb304d5150
002904,作物健康管理與諮詢,2024/01/08,盆栽上個月從一個角落開始慢慢的枯死，是蟲害嗎？該如何處理？,"從照片顯示植株全株萎凋與根系受損有關，可能的原因為根受到病蟲害感染或介質太濕導致根部細胞死亡，初步研判較可能是非生物因子。可撥開介質觀察地際部/根部是否有蟲體、蛀孔、根系發黑等現象，亦須注意介質勿積水等以維持植株的健康。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=35cc7e218713ac02698170affdab380a
002902,作物健康管理與諮詢,2024/01/03,目前栽培的蟛蜞菊(黃花蜜菜)沒有推薦用藥，且使用油類資材效果差，近年氣候異常，蟲病害嚴重，需求增訂用藥殘留容許量，以確保消費者跟農戶之間的安心。,"有關農作物生產所需之病蟲害管理面臨缺乏防治技術及植物保護資材時，需先由專家先確認用藥需求，建議可透過產銷班、農會或縣市政府農業主管部門協助，請轄區內植物保護專家確認關鍵病蟲害種類，並行文農藥主管部門防檢署提出用藥需求，屆時會請相關單位及專家評估害物管理及用藥需求性。當用藥需求性確立後，農業部會請專家就影響生產之害物種類評估是否有適當藥劑可供使用，倘無科學數據，則需進行試驗確認使用方法和容許量，因農藥登記是由農業部負責農藥登記審查及公告，衛福部則負責審查及公告殘留容許量，待容許量通過後，農業部就會公告國內使用方法，以確保使用之植物保護資材符合標準，以維護農產品安全，以及食用者健康。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=1ef6ad9ec13b4d1455687c58d9f0dab8
002901,動植物產品毒理安全,2023/12/26,有新型的藥劑想要執行毒理試驗28天餵食亞急毒性試驗，需要那些資料？,"本所提供國內外單位28天餵食亞急毒性試驗委託服務，相關申請詳細資料可至本所網址便民服務/農藥及其他物質之溫血動物毒性及致變異性委託試驗申請須知，下載相關申請書(內附中英文版申請書)、收件標準及需提供藥劑有效成分的含量分析證明資料等。若有其他疑問，請電洽本所04-23302101分機506張小姐。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=14ac6012dbb0aec2d26cfe2b96f39e65
002900,生物農藥,2023/12/21,荔枝無毒栽培管理問題：1. 炭疽病防治使用柑橘油或是肉桂精油製劑防治兩者皆有效嗎？哪種效果比較好？2. .葉噴微生物製劑也可以防治炭疽病嗎？可以加窄域油嗎或是分開使用比較好？,"1. 經查先前農試所謝廷芳研究員曾針對肉桂精油對炭疽病的防治進行測試，另產品「驚炭號」他也做過試驗研究，若有相關問題可致電請教(04-233170032)。
2. 為避免油劑干擾微生物製劑的效果，建議分開使用。
3. 若想查詢低風險的免登記植物保護資材，可洽詢農藥資訊服務網的免登記植物保護資材專區：
https://pesticide.aphia.gov.tw/information/Data/Protectnews
 。
4. 有關荔枝細蛾性費洛蒙僅供監測族群使用，未商品化，如有試用需求歡迎來電索取試用品：04-23302101分機829。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=2b48367e3b538ba2c1cb94d6b463834e
002899,農藥管理,2023/12/20,牛奶果有無登記農藥可用？屬於柑橘科別嗎？,"有關牛奶果為俗名，正式中文名稱為星蘋果，學名為 Chrysophyllum cainito Linn.，屬山欖科。目前尚無以「星蘋果」方式公告農藥使用方法，建議作物名稱改以「果樹」方式查詢農藥使用方法(
https://pesticide.aphia.gov.tw/information/Query/Bug
，如附件)。 
文件
 
1121218-01-01-01ProFile.PDF
 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=08209422beecfdb38f877d31990e8c33
002898,食品安全,2023/12/19,阿巴汀使用在柑橘�逋踼�2000倍安全採收期是6天，若欲使用1500倍時安全採收期是否應延後至9天，1000倍時安全採收期是否應延後至12天；其他的殺蟲劑、殺菌劑是否可以此類推？,"1. 有關農藥安全採收期的訂定是綜合藥效試驗及殘留試驗等科學數據評估而來，一般而言降低稀釋倍數意味提高施藥量，大多數情況下作物中農藥殘留量確實會增加，通常需要更長時間讓殘留農藥消退到符合殘留容許量，因此無法自行依據稀釋倍數變化推估延長採收天數，不僅阿巴汀無法推估，也不適用其他的農藥。
2. 若未依照登記使用方法任意提高施藥濃度，除了增加生產成本，也可能提高農產品農藥殘留違規及農作物發生藥害等風險，並不建議任意改變施藥濃度。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=6bc0885f744f107a879b0d736bffa3d9
002896,動植物產品毒理安全,2023/12/15,非傳統性食品原料之基因毒性試驗、90天餵食毒性試驗、致畸試驗之報價為何？是否可委託試驗設計？各項試驗取得報告約需多久？,"有關非傳統性食品原料之基因毒性試驗非單一試驗，通常需包含細菌、細胞、動物體等3種生物體系毒性測試，本所因業務調整暫停致變異性3項試驗，可參考國內其他試驗位進行致變異性三項測試。有關90天餵食毒性試驗委託費用165萬元約需240天，致畸型試驗(亦稱為出生前發育毒性試驗)委託費用約200萬元，執行期需320天，詳細委託服務可至本所網址便民服/農藥及其他物質之溫血動物毒性及致變性為委託試驗申請須知。另可接受客製化實驗設計，請電洽本所04-23302101分機506張小姐。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=bbbb8f2b29c0b6e395055beaad338687
002895,作物健康管理與諮詢,2023/12/13,酪梨結果後發生如圖狀況，應如何防治？,"從提供的照片初步研判，較像鱗翅目害蟲為害，但因無看到蟲體，請持續觀察是否有相關的幼蟲；若確認其害蟲可依據植物保護資訊系統中「酪梨鱗翅目害蟲」核准藥劑施藥。若能提供更詳細的照片或植株的資訊可來電(04)23302101#357作物病蟲害診斷中心做更詳盡的解說。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=ef87f3f13c78701aa127ae3c99cd7a5c
002894,動植物產品毒理安全,2023/12/12,非傳統性食品原料之基因毒性試驗、90天餵食毒性試驗、致畸試驗之報價是否有組合優惠價？,"有關本所毒性試驗委託費用如下，基因毒性3項試驗細菌基因逆向變異試驗13萬元、小鼠紅血球微核試驗58萬元、體外哺乳動物細胞微核試驗16萬3千元，90天餵食毒性試驗165萬元，致畸型試驗(亦稱為出生前發育毒性試驗)200萬元，上述報價均經財政部審核，並公告於本所網站，因此本委託服務無組合優惠價。此毒性試驗相關報價並可見於本所網頁/便民服務/農藥及其他物質之溫血動物毒性及致變性委託試驗申請須知之附件二。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=66a87da151a53ba9b6a399042b3bf18b
002892,作物健康管理與諮詢,2023/12/12,番茄底部有凹陷，切開是黑的，是何原因？,"從照片研判為番茄缺鈣所導致的尻腐症狀，請確認合理化施肥，因過量氮肥會導致鈣的吸收，可適度補充鈣肥；另強酸性土壤也會導致鈣元素的缺乏，可先檢測土壤的酸鹼度後調整。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=0c44416142e573e5c6bd233df5373203
002890,動植物產品毒理安全,2023/11/21,為什麼同一種農藥規格都相同，但每個廠商做出來的毒性都不相同呢？同一種農藥中等毒跟輕毒藥效會有差嗎？,"有關成品農藥的毒性與藥效來源為主成分(有效成分)及其他成分(佐劑或稱其他配方如有機溶劑等)，目前農藥標準規格上主成分含量及劑型相同之第二家以上仿製藥，在登記管理標示上均屬於同一種成品農藥，由於個別廠商使用不同來源的主成分或不同的配方成分，其佐劑配方的變動，一般會尋找可強化有效成分的附著，或協助有效成分穿透到植物體內，達到防治害物目的，因此都可能導致毒性與藥效上的差異。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=0134f0afe067cc102b8813c01285615c
002889,雜草防治,2023/11/15,有關多肉植物花臺下長了腎蕨，鳳尾蕨和鐵線蕨，它們的孢子已逐漸影響花臺上的盆花，能否提供幾款適合的除草劑？,"有關蕨類植物，除了人工清除之外，建議可施用系統性防除闊葉雜草的除草劑(如:二、四－地、百速隆、嘉磷塞)，讓藥劑經導管及篩管，長距離輸送至與藥劑接觸以外之其他部位發生作用。惟由於除草劑較其他種農藥易於造成作物之藥害，以化學除草劑防除雜草時，要確實遵照標示之藥量及使用方法，不可隨意將藥劑用於未經測試或非推薦之作物。用藥資訊請參考動植物防疫檢疫署農藥資訊服務網(https://pesticide.aphia.gov.tw/information/)或農藥所植物保護資訊系統(https://otserv2.acri.gov.tw/PPM/)。 
文件
無 
回上一頁",https://mbox.acri.gov.tw/TA03.asp?Enc=e9bbab64c1d5848bdfd86963e0b28e18
